1,0.000002
11,0.000002
21,0.000002
31,0.000006
41,0.000008
51,0.000015
61,0.000018
71,0.000025
81,0.000034
91,0.000060
101,0.000050
111,0.000064
121,0.000072
131,0.000080
141,0.000096
151,0.000108
161,0.000128
171,0.000141
181,0.000160
191,0.000183
201,0.000199
211,0.000214
221,0.000235
231,0.000259
241,0.000273
251,0.000313
261,0.000311
271,0.000370
281,0.000389
291,0.000436
301,0.000439
311,0.000482
321,0.000494
331,0.000526
341,0.000565
351,0.000607
361,0.000692
371,0.000733
381,0.000701
391,0.000739
401,0.000789
411,0.000875
421,0.000884
431,0.000905
441,0.000962
451,0.000994
461,0.001076
471,0.001100
481,0.001180
491,0.001230
501,0.001214
511,0.001290
521,0.001424
531,0.001405
541,0.001435
551,0.001590
561,0.001577
571,0.001671
581,0.001622
591,0.001781
601,0.001771
611,0.001873
621,0.001892
631,0.001937
641,0.001950
651,0.002110
661,0.002229
671,0.002351
681,0.002332
691,0.002563
701,0.002661
711,0.002552
721,0.002711
731,0.002975
741,0.003023
751,0.003070
761,0.003227
771,0.003252
781,0.003426
791,0.003469
801,0.003570
811,0.003222
821,0.003376
831,0.003422
841,0.003479
851,0.003558
861,0.003684
871,0.003763
881,0.003811
891,0.003870
901,0.003995
911,0.004110
921,0.004240
931,0.004219
941,0.004355
951,0.004616
961,0.004604
971,0.004756
981,0.004675
991,0.004853
